 Financial Report for
 Year 2024  Month 02  Day 09

 Account   Last Name                Limit       Balance
 --------  ----------               ----------  -------------
 17891797  WASHINGTON                10,000.00         188.74
 17971801  ADAMS                     10,000.00       3,188.33
 18011809  JEFFERSON                 10,000.00       7,008.13
 18091817  MADISON                   10,000.00         503.13
 18171825  MONROE                    10,000.00      31,313.13
 18251829  ADAMS II                  10,000.00      31,250.33
 18291837  JACKSON                   10,000.00       3,318.30
 18371841  VAN BUREN                 10,000.00         325.00
 18411841  HARRISON                  10,000.00         313.50
 18411845  TYLER                     10,000.00         121.65
 18451849  POLK                      10,000.00         314.05
 18491850  TAYLOR                    10,000.00         828.20
 18501853  FILLMORE                  10,000.00         373.10
 18531857  PIERCE                    10,000.00         315.07
 18571861  BUCHANAN                  10,000.00           7.90
 18611865  LINCOLN                  100,000.00         313.13
 18651869  JOHNSON                  100,000.00         603.14
 18691877  GRANT                    100,000.00      32,318.30
 18771881  HAYES                    100,000.00       5,860.55
 18811881  GARFIELD                 100,000.00       5,600.27
 18811885  ARTHUR                   100,000.00      31,070.23
 18851889  CLEVELAND                100,000.00      99,313.10
 18891893  HARRISON II              100,000.00       5,003.13
 18931897  CLEVELAND II             100,000.00      40,050.24
 18971901  MCKINLEY                 100,000.00      31,950.13
 19011909  ROOSEVELT              1,000,000.00     781,319.43
 19091913  TAFT                   1,000,000.00      40,199.73
 19131921  WILSON                 1,000,000.00      84,033.13
 19211923  HARDING                1,000,000.00      11,829.27
 19231929  COOLIDGE               1,000,000.00      10,619.20
 19291933  HOOVER                 1,000,000.00      31,318.33
 19331945  ROOSEVELT II           5,000,000.00      31,310.23
 19451953  TRUMAN                 5,000,000.00      60,992.53
 19531961  EISENHOWER             5,000,000.00      32,502.50
 19611963  KENNEDY                1,700,000.00   5,084,035.13
 19631969  JOHNSON II             1,700,000.00         833.13
 19691974  NIXON                  1,700,000.00         600.34
 19741977  FORD                   1,700,000.00   5,051,318.40
 19771981  CARTER                   100,000.00   3,118,826.10
 19811989  REAGAN                   100,000.00      50,278.80
 19891993  BUSH                     100,000.00      40,793.10
 19932001  CLINTON                  100,000.00   8,118,313.14
 20012009  BUSH II                  100,000.00      31,313.20
 20092017  OBAMA                  9,950,000.00      92,311.00
 20172021  TRUMP                  8,100,000.00          10.00
